,mean,std,min,max,start_time,end_time
pilot2_shkolla_25012017_matjeteparadites_2.csv,86.722076228686049,16.905862753900465,51.450000000000003,160.44,2017-01-25 09:39:44,2017-01-25 10:39:06
pilot2_shkolla_25012017_matjeteparadites_1.csv,82.299516003122577,17.979220082893232,33.850000000000001,152.25,2017-01-25 09:39:48,2017-01-25 10:54:26
pilot2_faikkonica_25012017_pasdite_1.csv,69.542916120576677,7.2828176912134381,39.719999999999999,97.930000000000007,2017-01-25 15:11:09,2017-01-25 15:40:46
pilot2_faikkonica_25012017_pasdite_2.csv,70.91291309012874,9.1622465139245168,41.789999999999999,98.989999999999995,2017-01-25 15:11:11,2017-01-25 15:47:22
pilot2_faikkonica_paradite_27012017_2.csv,90.618534931042291,14.08640880279194,46.200000000000003,146.80000000000001,2017-01-27 09:12:36,2017-01-27 10:38:31
pilot2_faikkonica-paradite-27012017_1.csv,90.970636363636373,13.33396661020347,54.469999999999999,133.90000000000001,2017-01-27 09:37:16,2017-01-27 10:31:54
pilot2_faikkonica_pasdite_27012017_1.csv,82.310029211295031,11.849385220193874,39.109999999999999,123.68000000000001,2017-01-27 15:11:50,2017-01-27 16:11:40
pilot2_faikkonica_pasdite_27012017_2.csv,87.361110385369031,13.897379708611791,54.729999999999997,153.38,2017-01-27 15:11:52,2017-01-27 16:11:20
pilot2_faikkonica_paradite_30012017_1.csv,142.20237386993293,21.849909910368488,79.549999999999997,179.19999999999999,2017-01-30 09:16:33,2017-01-30 10:23:14
pilot2_faikkonica_paradite_30012017_2.csv,137.01714922048996,16.500995869653735,80.819999999999993,176.28999999999999,2017-01-30 09:36:22,2017-01-30 10:37:26
pilot2_faikkonica_pasdite_30012017_2.csv,102.1673923611111,11.266436044511211,54.729999999999997,138.66999999999999,2017-01-30 15:03:15,2017-01-30 16:00:11
pilot2_faikkonica_pasdite_30012017_1.csv,102.0009523809524,10.580331442225484,61.969999999999999,141.13999999999999,2017-01-30 15:14:57,2017-01-30 16:00:13
